time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2010,world,9759.93,70.23,6895735900,World,planet,
2010,eur,27666.86,76.01,818075872,Europe,region,
2010,asi,6524.22,70.84,4001804165,Asia,region,
2010,afr,2726.77,57.91,1017829231,Africa,region,
2010,ame,21375.87,75.73,923853592,America,region,
2010,_abk,,,,Abkhazia,country,eur
2010,afg,1214.61,59.61,31411743,Afghanistan,country,asi
2010,and,33052.28,,84864,Andorra,country,eur
2010,_akr,,,,Akrotiri and Dhekelia,country,
2010,alb,6746.44,76.78,3204284,Albania,country,eur
2010,dza,6300.64,70.61,35468208,Algeria,country,afr
2010,asm,,,68420,American Samoa,country,asi
2010,ago,5497.61,50.68,19081912,Angola,country,afr
2010,aia,18220.47,,15358,Anguilla,country,ame
2010,atg,13921.51,75.43,88710,Antigua and Barbuda,country,ame
2010,arg,14486.63,75.77,40412376,Argentina,country,ame
2010,arm,4598.93,74.29,3092072,Armenia,country,eur
2010,abw,21868.81,75.05,107488,Aruba,country,ame
2010,aus,34884.76,82.09,22268384,Australia,country,asi
2010,aut,35816.33,80.59,8393644,Austria,country,eur
2010,aze,9325.55,70.51,9187783,Azerbaijan,country,eur
2010,bhs,21022.7,74.75,342877,Bahamas,country,ame
2010,bhr,24012.8,76.2,1261835,Bahrain,country,asi
2010,bgd,1621.04,69.44,148692131,Bangladesh,country,asi
2010,brb,16223.53,74.87,273331,Barbados,country,ame
2010,blr,12490.18,69.61,9595421,Belarus,country,eur
2010,bel,32832.33,80,10712066,Belgium,country,eur
2010,blz,7271.49,73.24,311627,Belize,country,ame
2010,ben,1438.98,58.79,8849892,Benin,country,afr
2010,bmu,70737.27,,64941,Bermuda,country,ame
2010,btn,5273.68,67.01,725940,Bhutan,country,asi
2010,bol,4095.21,66.36,9929849,Bolivia,country,ame
2010,bih,7596,75.89,3760149,Bosnia and Herzegovina,country,eur
2010,bwa,13181.34,46.58,2006945,Botswana,country,afr
2010,bra,10195.44,73.12,194946471,Brazil,country,ame
2010,vgb,48039.83,,23245,British Virgin Islands,country,
2010,chn,7405.72,74.86,1341335156,China,country,asi
2010,brn,45460.87,77.95,398920,Brunei,country,asi
2010,bgr,10990.43,73.24,7494332,Bulgaria,country,eur
2010,bfa,1277.68,55.08,16468714,Burkina Faso,country,afr
